Trip ID,SURVEYZONE_START,SURVEYZONE_END,qGENDER,qINCOME,qRACECODE,qCARACCESS,qPurposeRecode,Day Grouping,Within Zone?,Income Group,Purpose Grouping,qSustainableMode
3784,Middle Queens,Inner Queens,Female,"100,000− 149,999",Hispanic,own car,Personal errands,Weekday,outside,middle income,Others,Yes
3785,Outer Brooklyn,Outer Brooklyn,Female,"25,000− 34,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
3786,Outer Brooklyn,Outer Brooklyn,Male," 75,000 -  99,999",White,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
3787,Outer Brooklyn,Outer Brooklyn,Male,"50,000 -  74,999",Asian,NO car,Social/recreation,Weekday,within,low income,Social,Yes
3788,Outer Queens,Inner Queens,Female,"35,000− 49,999",Black,NO car,Commute to/from work,Weekday,outside,low income,Work/School,No
3789,Manhattan Core,Inner Queens,Male,"100,000− 149,999",Hispanic,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3790,Inner Brooklyn,Inner Brooklyn,Female,"25,000− 34,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,No
3791,Outer Queens,Outer Queens,Male,"35,000− 49,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,No
3792,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",Hispanic,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
3793,Outer Brooklyn,Outer Brooklyn,Female,"50,000 -  74,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3794,Outer Queens,Inner Queens,Female,"Less than 14,999",Black,NO car,Shopping,Weekday,outside,low income,Social,No
3795,Inner Brooklyn,Inner Brooklyn,Female,"15,000− 24,999",Black,NO car,Shopping,Weekday,within,low income,Social,Yes
3796,Outer Queens,Outer Queens,Female,"15,000− 24,999",White,own car,Medical visit (doctor's office),Weekday,within,low income,Others,No
3797,Inner Queens,Outer Brooklyn,Male,"50,000 -  74,999",White,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
3798,Outer Queens,Inner Queens,Male,"50,000 -  74,999",Black,own car,Shopping,Weekday,outside,low income,Social,No
3799,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Hispanic,NO car,Other,Weekday,within,low income,Others,Yes
3800,Northern Manhattan,Northern Manhattan,Female,"Less than 14,999",Hispanic,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
3801,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3802,Outer Brooklyn,Outer Brooklyn,Male,"50,000 -  74,999",Hispanic,own car,Shopping,Weekend,within,low income,Social,Yes
3803,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Shopping,Weekend,within,middle income,Social,Yes
3804,Middle Queens,Middle Queens,Female,"50,000 -  74,999",Black,own car,Shopping,Weekend,within,low income,Social,No
3805,Manhattan Core,Inner Queens,Female,"35,000− 49,999",Hispanic,NO car,Personal errands,Weekend,outside,low income,Others,Yes
3806,Inner Queens,Inner Queens,Male,"25,000− 34,999",White,own car,Other,Weekend,within,low income,Others,No
3807,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,NO car,Social/recreation,Weekend,within,middle income,Social,Yes
3808,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Other,own car,Other,Weekend,within,low income,Others,No
3809,Outer Queens,Outer Queens,Female,"Less than 14,999",Asian,NO car,Social/recreation,Weekend,within,low income,Social,No
3810,Outer Queens,Inner Queens,Female,"100,000− 149,999",White,own car,Social/recreation,Weekend,outside,middle income,Social,No
3811,Outer Queens,Outer Queens,Male,"50,000 -  74,999",White,own car,Dining,Weekend,within,low income,Social,Yes
3812,Outer Queens,Outer Queens,Female,"150,000− 199,999",Hispanic,own car,Social/recreation,Weekend,within,high income,Social,No
3813,Inner Queens,Inner Queens,Female,"Less than 14,999",Black,own car,Shopping,Weekend,within,low income,Social,No
3814,Outer Brooklyn,Outer Brooklyn,Male,"50,000 -  74,999",Hispanic,NO car,Personal errands,Weekend,within,low income,Others,Yes
3815,Outer Queens,Outer Queens,Male,"25,000− 34,999",White,own car,Personal errands,Weekend,within,low income,Others,Yes
3816,Manhattan Core,Inner Queens,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
3817,Outer Queens,Outer Queens,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekend,within,middle income,Work/School,No
3818,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Black,own car,Other,Weekend,within,low income,Others,No
3819,Inner Queens,Inner Queens,Male,"35,000− 49,999",Asian,own car,Social/recreation,Weekend,within,low income,Social,Yes
3820,Inner Queens,Inner Queens,Male,"100,000− 149,999",White,NO car,Commute to/from work,Weekend,within,middle income,Work/School,Yes
3821,Outer Queens,Outer Queens,Female,"15,000− 24,999",White,NO car,Other,Weekend,within,low income,Others,Yes
3822,Middle Queens,Inner Queens,Male,"25,000− 34,999",Hispanic,own car,Shopping,Weekend,outside,low income,Social,No
3823,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Black,NO car,Personal errands,Weekend,within,low income,Others,No
3824,Southern Bronx,Southern Bronx,Female,"Less than 14,999",Hispanic,NO car,Shopping,Weekend,within,low income,Social,Yes
3825,Inner Brooklyn,Inner Brooklyn,Female,"Less than 14,999",Hispanic,NO car,Shopping,Weekend,within,low income,Social,Yes
3826,Outer Queens,Outside of NYC,Male,"50,000 -  74,999",White,own car,Personal errands,Weekend,outside,low income,Others,No
3827,Outer Brooklyn,Outer Brooklyn,Female,"25,000− 34,999",White,NO car,Commute to/from work,Weekend,within,low income,Work/School,Yes
3828,Outside of NYC,Middle Queens,Female,"200,000 and above",White,own car,Shopping,Weekend,outside,high income,Social,No
3829,Outer Queens,Inner Queens,Female,"50,000 -  74,999",Hispanic,own car,Social/recreation,Weekend,outside,low income,Social,Yes
3830,Manhattan Core,Outside of NYC,Female,"50,000 -  74,999",Hispanic,NO car,Accompanying other traveler,Weekend,outside,low income,Others,Yes
3831,Outer Queens,Outer Queens,Male,"150,000− 199,999",Black,own car,Commute to/from work,Weekend,within,high income,Work/School,No
3832,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Black,NO car,Personal errands,Weekend,within,low income,Others,Yes
3833,Manhattan Core,Middle Queens,Male,"50,000 -  74,999",White,own car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
3834,Inner Queens,Inner Queens,Male,"Less than 14,999",Black,own car,Personal errands,Weekend,within,low income,Others,No
3835,Outer Queens,Outer Queens,Female,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekend,within,low income,Work/School,Yes
3836,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Hispanic,NO car,Social/recreation,Weekend,within,low income,Social,Yes
3837,Inner Brooklyn,Inner Brooklyn,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3838,Outer Brooklyn,Inner Brooklyn,Female,"15,000− 24,999",White,own car,Shopping,Weekday,outside,low income,Social,No
3839,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
3840,Inner Brooklyn,Inner Brooklyn,Female,"200,000 and above",White,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
3841,Southern Bronx,Southern Bronx,Male,"35,000− 49,999",Black,NO car,School,Weekday,within,low income,Work/School,Yes
3842,Manhattan Core,Manhattan Core,Male,"150,000− 199,999",White,own car,Shopping,Weekday,within,high income,Social,Yes
3843,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Business,Weekday,within,high income,Work/School,Yes
3844,Northern Manhattan,Northern Manhattan,Male,"Less than 14,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
3845,Outer Queens,Outer Queens,Female,"200,000 and above",White,own car,Social/recreation,Weekday,within,high income,Social,Yes
3846,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,No
3847,Outer Brooklyn,Outer Brooklyn,Male," 75,000 -  99,999",Black,NO car,Dining,Weekday,within,middle income,Social,Yes
3848,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3849,Manhattan Core,Inner Queens,Male," 75,000 -  99,999",Black,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3850,Northern Manhattan,Inner Brooklyn,Male,"15,000− 24,999",Hispanic,NO car,Business,Weekday,outside,low income,Work/School,Yes
3851,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",White,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
3852,Northern Manhattan,Northern Manhattan,Female,"150,000− 199,999",Black,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
3853,Northern Manhattan,Northern Manhattan,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3854,Outer Brooklyn,Outer Brooklyn,Male,"100,000− 149,999",Black,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
3855,Middle Queens,Middle Queens,Female,"Less than 14,999",Hispanic,NO car,Shopping,Weekday,within,low income,Social,Yes
3856,Northern Bronx,Northern Bronx,Female,"35,000− 49,999",Other,own car,Commute to/from work,Weekday,within,low income,Work/School,No
3857,Southern Bronx,Southern Bronx,Male,"25,000− 34,999",Asian,NO car,Dining,Weekday,within,low income,Social,Yes
3858,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
3859,Manhattan Core,Manhattan Core,Male,"200,000 and above",Asian,own car,Shopping,Weekday,within,high income,Social,Yes
3860,Manhattan Core,Outer Brooklyn,Female," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3861,Staten Island,Staten Island,Male,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3862,Northern Manhattan,Northern Manhattan,Male,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3863,Inner Brooklyn,Inner Brooklyn,Male,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3864,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",Black,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
3865,Outer Brooklyn,Outer Brooklyn,Female,"35,000− 49,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
3866,Manhattan Core,Inner Queens,Female,"35,000− 49,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
3867,Outer Brooklyn,Outer Brooklyn,Female,"15,000− 24,999",White,NO car,Other,Weekday,within,low income,Others,No
3868,Inner Brooklyn,Inner Brooklyn,Male,"25,000− 34,999",White,NO car,Personal errands,Weekday,within,low income,Others,Yes
3869,Outer Brooklyn,Outer Brooklyn,Female,"Less than 14,999",White,own car,Social/recreation,Weekday,within,low income,Social,No
3870,Inner Brooklyn,Inner Brooklyn,Female,"25,000− 34,999",Black,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3871,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3872,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Asian,NO car,Other,Weekday,within,low income,Others,Yes
3873,Inner Brooklyn,Inner Brooklyn,Female,"Less than 14,999",Hispanic,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
3874,Outer Brooklyn,Outer Brooklyn,Male,"35,000− 49,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,No
3875,Staten Island,Staten Island,Female,"150,000− 199,999",White,own car,School,Weekday,within,high income,Work/School,No
3876,Inner Brooklyn,Inner Brooklyn,Female,"25,000− 34,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
3877,Outer Brooklyn,Outer Brooklyn,Female,"15,000− 24,999",Asian,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3878,Outer Queens,Staten Island,Female," 75,000 -  99,999",White,NO car,Medical visit (doctor's office),Weekday,outside,middle income,Others,No
3879,Outer Brooklyn,Outer Brooklyn,Male,"50,000 -  74,999",White,own car,Personal errands,Weekday,within,low income,Others,No
3880,Manhattan Core,Outer Queens,Male," 75,000 -  99,999",Hispanic,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3881,Inner Queens,Inner Queens,Female,"50,000 -  74,999",Black,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3882,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Black,NO car,Commute to/from work,Weekday,within,low income,Work/School,No
3883,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3884,Inner Queens,Inner Queens,Female,"25,000− 34,999",White,own car,Personal errands,Weekday,within,low income,Others,No
3885,Inner Queens,Inner Queens,Female,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3886,Inner Brooklyn,Inner Brooklyn,Female,"200,000 and above",White,own car,Commute to/from work,Weekday,within,high income,Work/School,Yes
3887,Outer Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",Black,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
3888,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
3889,Inner Brooklyn,Inner Brooklyn,Male,"Less than 14,999",White,NO car,Dining,Weekday,within,low income,Social,Yes
3890,Manhattan Core,Outer Queens,Female,"200,000 and above",Other,NO car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
3891,Inner Queens,Inner Queens,Female,"Less than 14,999",Hispanic,NO car,Other,Weekday,within,low income,Others,Yes
3892,Outer Queens,Outer Queens,Female,"Less than 14,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3893,Northern Bronx,Northern Bronx,Male,"15,000− 24,999",Black,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3894,Outer Queens,Outer Queens,Male,"200,000 and above",White,own car,Shopping,Weekday,within,high income,Social,No
3895,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Black,NO car,Other,Weekday,within,low income,Others,Yes
3896,Inner Brooklyn,Manhattan Core,Female,"35,000− 49,999",Black,NO car,Medical visit (doctor's office),Weekday,outside,low income,Others,No
3897,Staten Island,Staten Island,Male,"200,000 and above",White,own car,Commute to/from work,Weekday,within,high income,Work/School,No
3898,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
3899,Inner Brooklyn,Inner Brooklyn,Male,"35,000− 49,999",Black,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3900,Inner Brooklyn,Inner Brooklyn,Male,"15,000− 24,999",Black,own car,Social/recreation,Weekday,within,low income,Social,No
3901,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
3902,Northern Bronx,Manhattan Core,Female,"35,000− 49,999",Hispanic,own car,Dining,Weekday,outside,low income,Social,Yes
3903,Southern Bronx,Northern Bronx,Female,"Less than 14,999",Black,NO car,Other,Weekday,outside,low income,Others,Yes
3904,Northern Bronx,Outside of NYC,Female,"100,000− 149,999",Black,own car,Business,Weekday,outside,middle income,Work/School,No
3905,Southern Bronx,Southern Bronx,Female,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,No
3906,Manhattan Core,Southern Bronx,Female,"35,000− 49,999",Hispanic,own car,Shopping,Weekday,outside,low income,Social,Yes
3907,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Commute to/from work,Weekday,within,high income,Work/School,Yes
3908,Manhattan Core,Northern Bronx,Female,"50,000 -  74,999",Other,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
3909,Outer Brooklyn,Outer Brooklyn,Female,"100,000− 149,999",Black,NO car,Social/recreation,Weekday,within,middle income,Social,No
3910,Outer Queens,Outer Queens,Female," 75,000 -  99,999",White,own car,Personal errands,Weekday,within,middle income,Others,No
3911,Middle Queens,Middle Queens,Female,"Less than 14,999",Black,NO car,Shopping,Weekday,within,low income,Social,Yes
3912,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,No
3913,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,NO car,Social/recreation,Weekday,within,middle income,Social,No
3914,Northern Manhattan,Northern Manhattan,Male,"15,000− 24,999",Black,NO car,Personal errands,Weekday,within,low income,Others,Yes
3915,Manhattan Core,Manhattan Core,Male,"50,000 -  74,999",White,NO car,Other,Weekday,within,low income,Others,Yes
3916,Manhattan Core,Middle Queens,Male,"100,000− 149,999",Hispanic,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3917,Outer Queens,Inner Queens,Male,"15,000− 24,999",Black,NO car,Business,Weekday,outside,low income,Work/School,No
3918,Northern Bronx,Northern Bronx,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
3919,Staten Island,Staten Island,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
3920,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,NO car,Personal errands,Weekday,within,high income,Others,Yes
3921,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,NO car,Dining,Weekend,within,middle income,Social,Yes
3922,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",Black,NO car,Personal errands,Weekend,within,low income,Others,Yes
3923,Outer Brooklyn,Outer Brooklyn,Male,"100,000− 149,999",White,own car,Social/recreation,Weekend,within,middle income,Social,No
3924,Inner Queens,Inner Queens,Male,"200,000 and above",Hispanic,own car,Shopping,Weekend,within,high income,Social,No
3925,Outer Brooklyn,Inner Brooklyn,Female,"35,000− 49,999",White,NO car,Personal errands,Weekend,outside,low income,Others,Yes
3926,Staten Island,Staten Island,Female,"25,000− 34,999",White,own car,Commute to/from work,Weekend,within,low income,Work/School,No
3927,Northern Bronx,Outside of NYC,Female,"50,000 -  74,999",Black,NO car,Shopping,Weekday,outside,low income,Social,Yes
3928,Outer Queens,Outer Queens,Female," 75,000 -  99,999",White,own car,Medical visit (doctor's office),Weekend,within,middle income,Others,No
3929,Outer Brooklyn,Outer Brooklyn,Female,"Less than 14,999",White,NO car,Medical visit (doctor's office),Weekend,within,low income,Others,No
3930,Outer Brooklyn,Outer Brooklyn,Male,"25,000− 34,999",White,NO car,Shopping,Weekend,within,low income,Social,Yes
3931,Outer Brooklyn,Outer Brooklyn,Male," 75,000 -  99,999",Black,own car,Personal errands,Weekday,within,middle income,Others,No
3932,Outer Brooklyn,Outer Brooklyn,Male,"15,000− 24,999",Hispanic,NO car,Shopping,Weekday,within,low income,Social,Yes
3933,Manhattan Core,Outer Brooklyn,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3934,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
3935,Manhattan Core,Manhattan Core,Male,"Less than 14,999",White,own car,Social/recreation,Weekday,within,low income,Social,Yes
3936,Manhattan Core,Manhattan Core,Male,"Less than 14,999",White,NO car,Dining,Weekday,within,low income,Social,Yes
3937,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Dining,Weekday,within,high income,Social,No
3938,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
3939,Middle Queens,Middle Queens,Male,"25,000− 34,999",White,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
3940,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
3941,Outer Queens,Outer Queens,Male,"35,000− 49,999",Black,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3942,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Commute to/from work,Weekday,within,high income,Work/School,Yes
3943,Manhattan Core,Staten Island,Male,"Less than 14,999",Hispanic,own car,Business,Weekday,outside,low income,Work/School,Yes
3944,Manhattan Core,Staten Island,Male,"150,000− 199,999",White,own car,Personal errands,Weekday,outside,high income,Others,No
3945,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Other,NO car,Shopping,Weekday,within,low income,Social,Yes
3946,Manhattan Core,Manhattan Core,Male,"150,000− 199,999",White,own car,Commute to/from work,Weekday,within,high income,Work/School,Yes
3947,Inner Brooklyn,Inner Brooklyn,Male," 75,000 -  99,999",White,NO car,Shopping,Weekday,within,middle income,Social,Yes
3948,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",Hispanic,own car,Shopping,Weekday,within,low income,Social,No
3949,Inner Brooklyn,Inner Brooklyn,Male,"25,000− 34,999",Black,NO car,School,Weekday,within,low income,Work/School,Yes
3950,Manhattan Core,Staten Island,Male,"Less than 14,999",White,own car,Medical visit (doctor's office),Weekday,outside,low income,Others,No
3951,Southern Bronx,Southern Bronx,Male,"100,000− 149,999",Black,NO car,Dining,Weekday,within,middle income,Social,Yes
3952,Northern Manhattan,Manhattan Core,Male,"150,000− 199,999",White,NO car,Shopping,Weekday,outside,high income,Social,Yes
3953,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",Other,NO car,Business,Weekday,within,low income,Work/School,Yes
3954,Southern Bronx,Southern Bronx,Male,"15,000− 24,999",Black,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
3955,Staten Island,Staten Island,Male,"100,000− 149,999",White,own car,Business,Weekday,within,middle income,Work/School,No
3956,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",Hispanic,own car,Personal errands,Weekday,within,low income,Others,No
3957,Northern Manhattan,Northern Manhattan,Male,"Less than 14,999",Black,own car,School,Weekday,within,low income,Work/School,No
3958,Southern Bronx,Southern Bronx,Male,"100,000− 149,999",Black,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
3959,Southern Bronx,Southern Bronx,Male,"Less than 14,999",Black,NO car,School,Weekday,within,low income,Work/School,Yes
3960,Northern Bronx,Inner Queens,Male,"100,000− 149,999",White,own car,Social/recreation,Weekday,outside,middle income,Social,No
3961,Southern Bronx,Southern Bronx,Male,"50,000 -  74,999",Black,NO car,Other,Weekday,within,low income,Others,Yes
3962,Northern Bronx,Northern Bronx,Male,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3963,Manhattan Core,Outer Brooklyn,Male,"100,000− 149,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
3964,Outer Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,own car,Personal errands,Weekday,outside,low income,Others,Yes
3965,Inner Brooklyn,Inner Brooklyn,Male,"35,000− 49,999",White,own car,Social/recreation,Weekday,within,low income,Social,Yes
3966,Manhattan Core,Manhattan Core,Female,"Less than 14,999",Asian,NO car,Business,Weekday,within,low income,Work/School,Yes
3967,Outer Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,NO car,Personal errands,Weekday,outside,low income,Others,Yes
3968,Inner Brooklyn,Inner Brooklyn,Female,"Less than 14,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3969,Northern Bronx,Northern Bronx,Female,"25,000− 34,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3970,Outer Brooklyn,Outer Brooklyn,Female,"25,000− 34,999",White,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
3971,Inner Queens,Inner Queens,Female,"50,000 -  74,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
3972,Outer Queens,Outer Queens,Female,"Less than 14,999",White,own car,Personal errands,Weekday,within,low income,Others,Yes
3973,Outer Brooklyn,Outer Brooklyn,Male,"35,000− 49,999",Black,NO car,Social/recreation,Weekday,within,low income,Social,Yes
3974,Manhattan Core,Manhattan Core,Female,"Less than 14,999",White,own car,Personal errands,Weekday,within,low income,Others,Yes
3975,Outer Queens,Inner Queens,Male,"50,000 -  74,999",Hispanic,own car,Other,Weekday,outside,low income,Others,No
3976,Southern Bronx,Northern Bronx,Male," 75,000 -  99,999",White,own car,Shopping,Weekday,outside,middle income,Social,Yes
3977,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Black,NO car,School,Weekday,within,low income,Work/School,Yes
3978,Northern Bronx,Northern Bronx,Female,"100,000− 149,999",White,own car,Personal errands,Weekday,within,middle income,Others,No
3979,Staten Island,Staten Island,Female,"Less than 14,999",White,own car,Social/recreation,Weekday,within,low income,Social,No
3980,Outer Brooklyn,Outer Brooklyn,Female,"25,000− 34,999",Black,own car,Social/recreation,Weekday,within,low income,Social,No
3981,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
3982,Staten Island,Staten Island,Female,"15,000− 24,999",Asian,own car,Dining,Weekday,within,low income,Social,No
3983,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Business,Weekday,within,high income,Work/School,Yes
3984,Northern Bronx,Middle Queens,Male,"200,000 and above",White,own car,Commute to/from work,Weekday,outside,high income,Work/School,No
3985,Manhattan Core,Manhattan Core,Female,"Less than 14,999",White,own car,Shopping,Weekday,within,low income,Social,Yes
3986,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,NO car,Personal errands,Weekday,within,middle income,Others,Yes
3987,Southern Bronx,Southern Bronx,Female,"35,000− 49,999",Black,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3988,Manhattan Core,Manhattan Core,Female,"Less than 14,999",White,own car,Other,Weekday,within,low income,Others,Yes
3989,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",Black,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
3990,Outer Queens,Inner Queens,Female,"50,000 -  74,999",Hispanic,NO car,Social/recreation,Weekday,outside,low income,Social,Yes
3991,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
3992,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
3993,Inner Brooklyn,Inner Brooklyn,Male,"Less than 14,999",White,own car,Other,Weekday,within,low income,Others,No
3994,Staten Island,Inner Brooklyn,Male,"50,000 -  74,999",White,own car,Other,Weekday,outside,low income,Others,No
3995,Outer Queens,Outer Queens,Female,"35,000− 49,999",White,own car,Shopping,Weekday,within,low income,Social,No
3996,Staten Island,Staten Island,Female,"100,000− 149,999",Black,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
3997,Staten Island,Inner Queens,Male,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekday,outside,low income,Social,No
3998,Manhattan Core,Manhattan Core,Female,"200,000 and above",White,own car,Social/recreation,Weekday,within,high income,Social,Yes
3999,Staten Island,Staten Island,Female,"100,000− 149,999",White,own car,Personal errands,Weekend,within,middle income,Others,No
4000,Outer Brooklyn,Inner Brooklyn,Female,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
4001,Northern Manhattan,Manhattan Core,Male,"25,000− 34,999",Black,NO car,Personal errands,Weekend,outside,low income,Others,Yes
4002,Northern Bronx,Northern Bronx,Female,"50,000 -  74,999",Hispanic,NO car,Shopping,Weekend,within,low income,Social,Yes
